GEO_ID,NAME,P1_001N,P1_002N,P1_003N,
0500000US06001,"Alameda County, California",1682353,1491537,523836,None
0500000US06003,"Alpine County, California",1204,1085,814,White
0500000US06005,"Amador County, California",40474,36596,31104,White
0500000US06007,"Butte County, California",211632,186947,149557,White
0500000US06009,"Calaveras County, California",45292,40264,36315,White
0500000US06011,"Colusa County, California",21839,17580,9364,White
0500000US06013,"Contra Costa County, California",1165927,1012452,501697,None
0500000US06015,"Del Norte County, California",27743,24304,17193,White
0500000US06017,"El Dorado County, California",191185,169237,146624,White
0500000US06019,"Fresno County, California",1008654,845251,374678,None
0500000US06021,"Glenn County, California",28917,24971,15753,White
0500000US06023,"Humboldt County, California",136463,120307,98095,White
0500000US06025,"Imperial County, California",179702,129907,47537,None
0500000US06027,"Inyo County, California",19016,16888,11752,White
0500000US06029,"Kern County, California",909235,762465,371734,None
0500000US06031,"Kings County, California",152486,128256,61226,None
0500000US06033,"Lake County, California",68163,59222,46858,White
0500000US06035,"Lassen County, California",32730,30140,21066,White
0500000US06037,"Los Angeles County, California",10014009,8525941,3259427,None
0500000US06039,"Madera County, California",156255,130901,65248,None
0500000US06041,"Marin County, California",262321,232636,179377,White
0500000US06043,"Mariposa County, California",17131,15099,13385,White
0500000US06045,"Mendocino County, California",91601,79534,59510,White
0500000US06047,"Merced County, California",281202,231847,104534,None
0500000US06049,"Modoc County, California",8700,7961,6772,White
0500000US06051,"Mono County, California",13195,11611,9349,White
0500000US06053,"Monterey County, California",439035,360576,158879,None
0500000US06055,"Napa County, California",138019,117282,76158,White
0500000US06057,"Nevada County, California",102241,92144,85604,White
0500000US06059,"Orange County, California",3186989,2739808,1383257,White
0500000US06061,"Placer County, California",404739,355864,288586,White
0500000US06063,"Plumas County, California",19790,17960,16608,White
0500000US06065,"Riverside County, California",2418185,2012514,995627,None
0500000US06067,"Sacramento County, California",1585055,1373386,715722,White
0500000US06069,"San Benito County, California",64209,52739,27230,White
0500000US06071,"San Bernardino County, California",2181654,1819800,782691,None
0500000US06073,"San Diego County, California",3298634,2776942,1633129,White
0500000US06075,"San Francisco County, California",873965,787732,361382,None
0500000US06077,"San Joaquin County, California",779233,666428,267339,None
0500000US06079,"San Luis Obispo County, California",282424,244366,198338,White
0500000US06081,"San Mateo County, California",764442,670175,300188,None
0500000US06083,"Santa Barbara County, California",448229,368509,224748,White
0500000US06085,"Santa Clara County, California",1936259,1726791,622617,None
0500000US06087,"Santa Cruz County, California",270861,232153,160565,White
0500000US06089,"Shasta County, California",182155,162594,142899,White
0500000US06091,"Sierra County, California",3236,2848,2703,White
0500000US06093,"Siskiyou County, California",44076,39026,33597,White
0500000US06095,"Solano County, California",453491,387034,175768,None
0500000US06097,"Sonoma County, California",488863,422842,306684,White
0500000US06099,"Stanislaus County, California",552878,468234,256602,White
0500000US06101,"Sutter County, California",99633,87143,46810,White
0500000US06103,"Tehama County, California",65829,57985,44926,White
0500000US06105,"Trinity County, California",16112,14756,11627,White
0500000US06107,"Tulare County, California",473117,386715,186255,None
0500000US06109,"Tuolumne County, California",55620,49947,44207,White
0500000US06111,"Ventura County, California",843843,698662,428677,White
0500000US06113,"Yolo County, California",216403,182292,107304,White
0500000US06115,"Yuba County, California",81575,69802,46590,White
